iid,uid,class
0,0,train
1,0,train
2,0,train
3,0,train
4,0,train
5,0,train
6,0,train
7,0,train
8,0,train
9,0,train
10,0,train
11,0,train
12,0,train
13,0,train
14,1,train
15,1,train
16,0,train
17,1,train
18,1,train
19,2,train
20,3,train
21,0,train
22,0,train
23,0,train
24,0,train
25,0,train
26,0,train
27,0,train
28,0,train
29,0,train
30,0,train
31,0,train
32,0,train
33,3,train
34,0,train
35,0,train
36,0,train
37,0,train
15,4,train
14,4,train
38,4,train
39,4,train
40,4,train
41,4,train
42,5,train
43,5,train
44,5,train
45,5,train
46,0,train
47,6,train
48,6,train
49,7,train
50,7,train
51,7,train
52,8,train
53,9,train
54,10,train
55,7,train
56,11,train
57,9,train
58,9,train
59,9,train
60,12,train
61,12,train
62,12,train
63,12,train
64,7,train
65,13,train
66,7,train
67,13,train
68,14,train
69,15,train
70,16,train
71,5,train
72,5,train
73,17,train
74,18,train
75,19,train
76,19,train
77,19,train
78,19,train
79,19,train
80,19,train
81,19,train
82,19,test
83,20,train
84,20,train
85,9,train
86,9,train
87,9,train
88,9,test
89,21,train
90,21,train
91,21,train
92,3,train
0,22,train
93,22,train
94,23,train
95,22,train
10,22,train
96,24,train
67,25,train
10,24,train
89,24,train
97,26,train
98,26,train
99,27,train
97,5,train
100,5,train
101,5,train
100,0,train
0,28,train
102,29,train
103,29,train
104,30,train
105,31,train
106,31,train
107,31,train
108,31,train
109,17,train
110,32,train
111,32,train
48,32,train
30,32,train
112,33,train
113,33,train
114,33,train
115,33,train
116,33,train
117,33,train
118,33,train
119,33,train
120,33,train
121,33,train
122,33,train
123,33,train
124,33,train
125,34,train
126,35,train
127,35,train
128,24,train
99,36,train
129,37,train
130,38,train
131,38,train
132,39,train
122,5,train
133,5,train
8,5,train
134,0,train
135,0,train
136,0,train
137,0,train
138,0,train
139,0,train
140,0,train
141,0,train
142,0,train
143,11,train
144,0,train
145,0,train
146,0,train
147,0,train
148,0,train
149,0,train
122,26,train
150,5,train
151,5,train
152,5,train
140,26,train
153,26,train
154,26,train
155,26,train
156,26,train
157,26,train
158,26,train
159,26,train
160,26,train
161,26,train
162,26,train
163,26,train
164,26,train
165,26,train
166,26,train
167,26,train
168,26,train
169,26,train
170,26,train
171,26,train
172,26,train
173,26,train
174,5,train
175,5,train
176,5,train
177,5,train
178,5,train
179,26,train
125,26,train
180,26,train
181,26,train
182,26,train
183,26,train
184,26,train
185,26,train
186,26,train
187,26,train
188,26,train
189,26,train
190,26,train
191,26,train
192,26,train
193,26,train
194,26,train
195,26,train
196,26,train
197,26,train
198,26,train
199,26,train
200,26,train
201,26,train
202,26,train
203,26,train
204,26,train
205,26,train
206,26,train
207,26,train
208,26,train
209,26,train
210,26,train
211,26,train
212,26,train
213,26,train
214,26,train
215,26,train
216,26,train
217,26,train
218,26,train
219,26,train
220,26,train
221,26,train
222,26,train
223,26,train
224,26,train
225,26,train
226,26,train
227,26,train
228,26,train
229,26,train
230,26,train
231,26,train
232,26,train
233,26,train
234,26,train
235,26,train
236,26,train
237,26,train
238,26,train
239,26,train
240,26,train
241,26,train
242,26,train
243,26,train
244,26,train
245,26,train
246,26,train
247,26,train
248,26,train
249,26,train
250,26,train
251,26,train
252,26,train
253,26,train
254,26,train
255,26,train
256,26,train
257,26,train
258,26,train
259,26,train
260,26,train
261,26,train
262,26,train
263,26,train
264,26,train
265,26,train
266,26,train
267,26,train
268,26,train
269,26,test
270,26,test
271,26,test
272,26,test
273,26,test
274,26,test
275,26,test
276,26,test
277,26,test
278,26,test
279,26,test
280,26,test
281,26,test
282,26,test
283,26,test
284,26,test
285,26,test
286,40,train
287,40,train
288,40,train
289,41,train
290,42,train
291,43,train
292,4,train
293,44,train
294,26,test
295,4,train
296,38,train
297,38,train
298,38,train
299,38,test
296,26,test
300,0,train
301,43,train
302,29,train
303,29,train
304,45,train
305,45,train
306,45,train
307,26,test
308,6,train
309,6,train
310,6,test
311,33,train
312,46,train
313,33,train
314,33,train
315,46,train
316,47,train
317,0,train
318,47,train
319,24,train
320,47,train
321,24,train
322,24,train
323,24,train
324,24,train
325,24,train
326,24,train
327,24,train
328,24,train
329,24,train
330,24,train
331,48,train
332,48,train
333,48,train
334,24,train
335,24,train
336,33,train
337,33,train
338,24,train
339,24,train
340,24,train
341,48,train
342,49,train
343,24,train
344,48,train
345,48,train
346,48,train
347,48,train
348,48,train
349,50,train
350,24,train
22,48,train
351,48,train
352,33,train
353,48,train
354,24,train
355,48,train
356,48,train
357,48,train
358,33,train
359,24,train
360,33,train
361,48,train
362,48,train
363,33,train
364,33,train
365,48,train
366,48,train
367,48,train
368,24,train
369,48,train
370,48,train
371,48,train
372,48,train
373,24,train
374,48,train
375,48,train
376,48,train
377,24,train
378,48,train
379,48,train
380,48,train
381,48,train
382,48,train
383,48,train
384,48,train
385,24,train
386,48,train
387,48,train
388,24,test
389,24,test
390,24,test
391,33,train
392,33,test
393,24,test
394,33,test
395,33,test
396,24,test
397,24,test
398,24,test
399,48,train
400,48,train
401,48,train
402,48,train
403,48,train
404,48,train
405,48,train
406,48,train
407,48,train
408,48,train
409,48,train
410,48,train
411,48,train
412,48,train
413,48,train
414,48,train
415,48,train
416,48,train
417,48,train
418,48,train
419,48,train
420,48,train
421,48,train
422,48,train
423,48,train
424,48,train
425,48,train
426,48,train
427,48,train
428,48,train
429,48,train
430,48,train
431,48,train
432,48,train
433,48,train
434,48,train
435,48,train
436,48,train
437,48,train
438,25,train
439,48,train
440,48,train
441,48,train
442,48,train
443,48,train
444,48,train
445,48,train
446,48,train
447,48,train
448,48,train
449,48,train
450,48,train
451,48,train
452,48,train
453,48,train
454,48,train
455,48,train
456,48,train
457,48,train
458,48,train
459,48,train
460,48,train
461,48,train
462,48,train
463,48,train
464,48,train
465,48,train
466,51,train
467,4,test
468,48,train
469,48,train
470,48,train
471,48,train
472,48,train
473,48,train
474,48,train
475,48,train
476,48,train
477,48,train
478,48,train
479,48,train
480,48,train
481,48,train
482,48,train
483,48,train
484,48,train
485,48,train
486,48,train
487,48,train
488,48,train
489,48,train
490,48,train
491,48,train
492,52,train
493,48,train
494,48,train
495,48,train
496,48,train
497,48,train
498,48,train
499,48,train
500,48,train
501,48,train
502,48,train
503,48,train
504,48,train
505,48,train
506,48,train
507,48,train
508,48,train
509,48,train
510,48,train
511,48,train
512,48,train
513,48,train
514,48,train
515,48,train
516,48,train
517,48,train
518,48,train
519,48,train
520,48,train
521,48,train
522,52,train
523,52,train
524,53,train
423,54,train
345,54,train
525,55,train
526,56,train
527,56,train
528,0,train
529,0,train
530,57,train
531,57,train
532,57,train
533,57,train
534,57,train
535,57,train
536,57,train
537,58,train
538,58,train
512,59,train
505,59,train
539,52,train
540,60,train
541,60,train
542,48,train
543,48,train
544,48,train
545,48,train
546,48,train
547,48,train
548,48,train
549,48,train
77,61,train
550,61,train
551,61,train
552,62,train
553,62,train
554,48,train
555,48,train
556,48,train
557,48,train
558,48,train
148,48,train
559,48,train
560,48,train
561,48,train
562,48,train
563,48,train
564,48,train
565,48,train
566,48,train
567,63,train
568,8,train
569,48,train
570,48,train
571,48,train
572,48,train
573,48,train
574,48,train
575,48,train
576,48,train
577,48,train
578,48,train
579,48,train
580,64,train
581,48,test
582,48,test
583,48,test
584,48,test
585,48,test
586,48,test
587,48,test
588,48,test
589,48,test
590,48,test
591,48,test
592,48,test
593,57,train
594,57,train
595,57,train
596,57,train
597,57,train
598,50,train
599,50,train
600,65,train
601,65,train
602,48,test
603,48,test
604,48,test
605,50,train
606,50,test
607,0,train
608,66,train
609,0,train
610,67,train
611,68,train
612,68,train
613,33,test
614,33,test
615,69,train
616,12,test
617,48,test
618,48,test
619,48,test
620,48,test
621,48,test
622,48,test
623,48,test
624,48,test
625,48,test
626,48,test
627,48,test
628,48,test
629,48,test
630,48,test
631,48,test
632,48,test
633,48,test
634,48,test
635,48,test
636,48,test
637,48,test
638,48,test
639,48,test
640,70,train
641,5,train
642,71,train
643,71,train
644,70,train
645,70,train
646,70,train
647,70,train
648,70,train
649,70,train
650,70,train
651,70,train
652,70,train
653,70,test
654,70,test
655,57,train
656,57,train
657,57,train
658,57,train
659,57,train
660,57,train
661,57,train
662,57,train
663,57,train
664,57,train
665,57,train
666,57,train
667,57,train
668,57,train
669,57,train
670,57,train
671,57,train
672,69,train
673,57,train
674,10,train
675,72,train
676,16,train
677,0,train
678,0,train
679,0,test
680,0,test
681,0,test
682,0,test
683,0,test
684,0,test
685,0,test
686,0,test
687,43,train
688,43,train
495,73,train
689,43,train
690,43,train
675,43,train
691,43,train
692,16,train
693,16,train
694,16,train
695,16,train
696,16,train
697,16,train
698,16,test
570,74,train
699,16,test
614,74,train
561,74,train
279,74,train
700,75,train
701,76,train
702,76,train
703,76,train
704,76,train
705,77,train
706,43,train
707,43,train
708,57,train
709,57,train
710,57,train
711,57,train
712,57,train
713,57,train
714,78,train
715,7,train
716,7,train
717,7,train
718,7,train
719,7,train
720,79,train
721,79,train
722,79,train
723,43,train
724,80,train
725,43,train
726,5,train
727,81,train
728,32,train
729,32,train
730,82,train
731,82,train
652,82,train
718,82,train
66,82,train
723,82,train
690,82,train
688,82,train
691,82,train
675,82,train
301,82,train
404,82,train
732,83,train
733,84,train
734,84,train
735,84,train
736,85,train
728,26,test
726,26,test
688,26,test
737,86,train
738,86,train
739,86,train
740,86,train
741,86,train
742,86,test
743,48,test
744,48,test
745,48,test
746,48,test
735,82,train
747,81,train
748,81,train
749,31,test
750,87,train
751,88,train
752,89,train
753,76,train
754,76,train
755,76,train
756,76,train
757,76,train
398,90,train
327,90,train
758,76,train
759,76,test
760,91,train
761,91,train
762,91,train
763,43,test
764,91,train
765,57,train
766,92,train
767,92,train
768,92,train
769,92,train
770,92,train
771,92,train
772,43,test
773,57,train
774,92,train
775,57,train
776,92,train
777,92,train
778,92,test
779,92,test
780,48,test
781,48,test
782,48,test
783,48,test
784,48,test
745,26,test
785,82,train
680,54,train
786,93,train
787,94,train
788,43,test
789,95,train
790,96,train
791,97,train
792,98,train
793,99,train
794,100,train
689,101,train
795,89,train
796,89,train
797,89,train
798,89,train
799,89,train
800,89,train
801,89,train
802,89,train
803,89,train
804,89,train
796,82,train
805,102,train
806,102,train
807,102,train
808,57,train
809,57,test
810,57,test
811,57,test
812,57,test
813,57,test
814,83,train
815,7,train
816,64,train
817,103,train
818,94,train
819,94,train
820,104,train
821,104,train
822,104,train
823,104,train
824,105,train
825,106,train
792,89,train
632,107,train
447,107,train
401,107,train
718,108,train
826,69,train
827,109,train
718,0,test
548,110,train
828,76,test
448,82,train
829,82,train
830,111,train
831,111,train
832,7,train
833,7,train
834,7,train
404,112,train
835,5,test
543,113,train
448,113,train
836,113,train
837,113,train
587,113,test
838,114,train
839,114,train
840,5,test
841,115,train
842,0,test
843,5,test
844,5,test
845,5,test
846,116,train
847,116,train
846,0,test
848,102,train
344,32,test
849,82,train
850,82,test
833,82,test
851,0,test
852,117,train
853,118,train
854,118,train
855,118,train
856,89,test
857,119,train
858,103,train
859,120,train
860,57,test
861,57,test
862,119,train
863,119,train
864,119,train
865,121,train
866,121,train
867,121,train
868,121,train
869,57,test
870,121,train
796,122,train
752,122,train
871,15,train
872,57,test
870,82,test
873,0,test
874,111,train
875,111,train
876,111,train
877,111,train
878,122,train
879,122,train
880,111,train
881,121,test
882,123,train
873,26,test
883,124,train
884,111,test
885,125,train
833,125,train
886,7,train
887,7,test
888,126,train
889,126,train
890,126,train
891,126,train
892,93,train
893,7,test
894,7,test
895,7,test
890,82,test
896,26,test
897,26,test
898,26,test
899,127,train
900,123,train
901,123,train
902,123,train
903,123,train
904,123,train
905,123,train
906,119,test
907,128,train
833,89,test
908,123,train
909,129,train
300,102,test
910,123,test
911,41,train
912,41,train
913,41,train
914,41,train
915,41,train
916,41,train
917,41,test
918,26,test
643,130,train
165,131,train
919,126,test
920,129,train
921,132,
